,Org,Technologies,Slots,Ideas Page,Contact
88,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/4687429327912960/"",""Kiwix"")","android, java, c++, python, qt",2,http://wiki.kiwix.org/wiki/GSoC,http://webchat.freenode.net/?channels=#kiwix
89,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6371057715904512/"",""LabLua"")","lua, céu",5,http://www.lua.inf.puc-rio.br/gsoc/ideas2018.html,http://groups.google.com/group/labluagsoc
90,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/4898832450060288/"",""languagetool.org"")","java, javascript, machine learning, ai, tensorflow",2,http://wiki.languagetool.org/missing-features,https://forum.languagetool.org
91,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6409962536304640/"",""LEAP Encryption Access Project"")","python, twisted, javascript, openvpn, gnupg",1,https://leap.se/en/docs/get-involved/project-ideas,https://leap.se/en/docs/get-involved/communication
92,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5403839536562176/"",""LibreHealth"")","java, php,  javascript, mysql, webcomponents",9,https://forums.librehealth.io/ideas,https://chat.librehealth.io
93,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6489903890169856/"",""LibreOffice"")","c++, java, python",7,https://wiki.documentfoundation.org/Development/GSoC/Ideas,https://wiki.documentfoundation.org/Website/IRC
94,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6037767851081728/"",""libvirt"")","hypervisor, kvm, xen, lxc",2,http://wiki.libvirt.org/page/Google_Summer_of_Code_Ideas,http://libvirt.org/contact.html#irc
95,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5263452624912384/"",""LLVM Compiler Infrastructure"")",llvm,8,http://llvm.org/OpenProjects.html#gsoc18,http://llvm.org/docs/#irc
96,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/4765853685907456/"",""LuaRocks"")","lua, linux, windows, unix, c",2,http://luarocks.github.io/luarocks/gsoc/ideas2018.html,http://gitter.im/luarocks
97,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5785567371460608/"",""MariaDB Foundation"")","mariadb, mysql, c, c++, java",1,https://mariadb.com/kb/en/library/google-summer-of-code-2018/,https://mariadb.com/kb/en/meta/irc/
98,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6529739443404800/"",""Matrix.org"")","golang, ios,  android,  python, react",2,https://github.com/matrix-org/GSoC/blob/master/IDEAS.md,https://matrix.to/#/#matrix:matrix.org
99,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5222617418039296/"",""MetaBrainz Foundation Inc."")","python, perl, javascript, postgresql, react",5,https://wiki.musicbrainz.org/Development/Summer_of_Code/2018,https://metabrainz.org/contact
100,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5923381731917824/"",""Metasploit"")","ruby, postgresql, python, c, assembly",5,https://github.com/rapid7/metasploit-framework/wiki/GSoC-2018-Project-Ideas,https://metasploit.com/help#contact
101,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5431834603159552/"",""Mixxx DJ Software"")","qt, audio, music, real-time, c++",2,https://www.mixxx.org/wiki/doku.php/gsoc2018ideas,https://mixxx.zulipchat.com
102,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/4895891068551168/"",""mlpack"")",c++,6,https://github.com/mlpack/mlpack/wiki/SummerOfCodeIdeas,http://www.mlpack.org/involved.html
103,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6557734510002176/"",""Mobile Robot Programming Toolkit (MRPT)"")","c/c++, cmake, python, webs",1,https://github.com/MRPT/mrpt/wiki/Ideas-page-for-MRPT-Google-Summer-of-Code-2018,https://gitter.im/MRPT/mrpt
104,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5904449381859328/"",""Moodle"")","php,  javascript, ionic, sql, angular",0,https://docs.moodle.org/dev/Projects_for_new_developers,https://telegram.me/moodledev
105,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/4941292362530816/"",""MovingBlocks"")"," java, opengl, json, blender, github",9,https://github.com/MovingBlocks/Terasology/wiki/GSOC,https://github.com/MovingBlocks/Terasology/wiki/Using-IRC
106,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6589662424465408/"",""Mozilla"")","javascript, c++, rust, python, css",16,https://wiki.mozilla.org/Community:SummerOfCode18,https://wiki.mozilla.org/IRC
107,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/4728147161382912/"",""MuseScore"")","qt, c++11, cpp, midi",3,https://musescore.org/en/handbook/ideas-2018,https://kiwiirc.com/client/irc.freenode.net/?nick=gsoc|?#musescore
108,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5428149655437312/"",""National Resource for Network Biology (NRNB)"")","java, javascript, python, html, c/c++",10,https://github.com/nrnb/GoogleSummerOfCode/issues,https://groups.google.com/forum/#!forum/cytoscape-helpdesk
109,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5474817897660416/"",""Neovim"")","lua, c, vim, javascript,  python",2,https://github.com/neovim/neovim/wiki/GSoC-2018-Ideas,https://gitter.im/neovim/neovim
110,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6483451842658304/"",""Netfilter project"")","linux kernel, c",3,http://people.netfilter.org/pablo/nf-ideas-2018.txt,http://irc.netsplit.de/channels/details.php?room=%23Netfilter&net=freenode
111,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6485922656813056/"",""NumFOCUS"")","python, julia, r, javascript, c++",40,https://github.com/numfocus/gsoc/blob/master/2018/ideas-list.md,https://groups.google.com/a/numfocus.org/forum/#!forum/gsoc
112,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6067192269373440/"",""omegaUp.com"")","php, mysql,  python",1,https://github.com/omegaup/omegaup/wiki/Google-Summer-of-Code-2018-Ideas-List,https://github.com/omegaup/omegaup/wiki/Google-Summer-of-Code-2018-Ideas-List#our-mailing-list-and-slack-channel
113,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5813329234755584/"",""Open Bioinformatics Foundation"")","python,  javascript, d, php, c/c++",5,http://obf.github.io/GSoC/ideas/,http://obf.github.io/GSoC/contact/
114,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/4981977648201728/"",""Open Chemistry"")","python, c++, javascript,  java, opengl",7,http://wiki.openchemistry.org/GSoC_Ideas_2018,https://public.kitware.com/mailman/listinfo/openchemistry-developers
115,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6544367028273152/"",""Open Data Kit"")"," android,  java",2,https://forum.opendatakit.org/t/welcome-gsoc-and-outreachy-applicants/11817,http://slack.opendatakit.org
116,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5395828684357632/"",""Open Food Facts"")","perl, mongodb, ios, android, machine learning",2,https://en.wiki.openfoodfacts.org/Student_projects/GSOC/Proposals,https://slack-ssl-openfoodfacts.herokuapp.com/
117,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5792235979276288/"",""Open Roberta Lab"")","java, javascript",2,https://github.com/OpenRoberta/robertalab/wiki/Google-Summer-of-Code-2018,https://github.com/OpenRoberta/robertalab/wiki/Community
118,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5991416564023296/"",""Open Source Robotics Foundation"")","c/c++, python, javascript, ros, gazebo",4,https://github.com/osrf/osrf_wiki/wiki/GSoC,mailto:gsoc@osrfoundation.org
119,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/4806851430449152/"",""Open States"")","python, django, react, graphql, postgresql",0,https://github.com/openstates/meta/wiki/GSoC-2018-Overview#ideas,https://openstates-slack.herokuapp.com/
120,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6600717804503040/"",""OpenAstronomy"")","python, julia, c++, numba",8,http://openastronomy.org/gsoc/gsoc2018/,http://openastronomy.org/
121,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5351751314046976/"",""OpenCensus"")","python, java, ruby, node, go",1,http://opencensus.io,https://gitter.im/census-instrumentation/GSoC
122,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/4753034282270720/"",""OpenMRS"")"," java, spring, javascript, rest, mysql",10,https://om.rs/soc2018,http://irc.openmrs.org
123,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/4660316541550592/"",""OpenSIPS"")","c,  python, mysql, scripting",0,http://www.opensips.org/Development/IdeasList,http://www.opensips.org/About/Contact
124,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5878934189113344/"",""OpenStreetMap"")","postgis,  java,  ruby,  javascript, c/c++",5,http://wiki.openstreetmap.org/wiki/Google_Summer_of_Code/2018/Project_Ideas,http://wiki.openstreetmap.org/wiki/IRC
125,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5250379281334272/"",""openSUSE"")","ruby on rail, perl,  ruby, html/javascript, c/c++",2,http://101.opensuse.org/gsoc/,https://en.opensuse.org/openSUSE:IRC_list
126,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/4717005412237312/"",""OpenWISP"")","python, django, javascript, openwrt, linux",2,http://openwisp.org/gsoc/ideas-2018.html,https://gitter.im/openwisp/general
127,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5214740582236160/"",""OpnTec"")","python, javascript, emberjs, cloud, android",2,http://blog.opntec.org/ideas,https://gitter.im/fossasia/open-event
128,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/4714779679653888/"",""Oppia Foundation"")","angularjs, python,  javascript, appengine,  css",7,https://github.com/oppia/oppia/wiki/Google-Summer-of-Code-2018#oppias-project-ideas,https://github.com/oppia/oppia/wiki/Google-Summer-of-Code-2018#communication
129,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/4890968767594496/"",""OSGeo"")","c/c++, standards, python, sql, database",10,http://wiki.osgeo.org/wiki/Google_Summer_of_Code_2018_Ideas,https://wiki.osgeo.org/wiki/Google_Summer_of_Code_Recommendations_for_Students#How_to_get_in_contact_via_IRC
130,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6376279188176896/"",""OW2"")","java, perl, middleware, bpm, wiki",0,https://tc.ow2.org/bin/view/wiki/GSoC+2018+Ideas+List,https://mail.ow2.org/wws/info/authzforce-team
131,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6340640489078784/"",""OWASP Foundation"")","java, net, ruby, javascript, python",8,https://www.owasp.org/index.php/GSOC2018_Ideas,https://www.owasp.org/index.php/GSoC#Getting_in_touch
132,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/4692141242580992/"",""P2PSP.org"")","python,  javascript, webrtc, sockets, c/c++",1,http://www.p2psp.org/en/news/78-gsoc-2018-ideas-page,https://gitter.im/orgs/P2PSP/rooms
133,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5315984235692032/"",""PEcAn Project"")"," javascript, postgresql,  php, c, r",1,http://pecanproject.github.io/gsoc_ideas.html,http://pecanproject.github.io/contact.html
134,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/4726475278254080/"",""Performance Co-Pilot"")","python, redis, c, linux, javascript",5,http://pcp.io/gsoc/2018/ideas.html,http://pcp.io/community.html
135,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5208530327961600/"",""phpBB Forum Software"")","mysql,  javascript, html5/css3, php, symfony",2,https://www.phpbb.com/development/gsoc/ideas/,https://www.phpbb.com/support/irc
136,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5779764400881664/"",""phpMyAdmin"")","php, mysql, cakephp, jquery, javascript",4,https://github.com/phpmyadmin/phpmyadmin/wiki/GSoC_2018_ideas_list,https://lists.phpmyadmin.net/mailman/listinfo/developers
137,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5782644243562496/"",""Plone"")","python,  javascript, html, css, reactjs",4,https://plone.org/community/gsoc/2018/ideas,https://community.plone.org
138,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5852375185096704/"",""PMD"")","java, xml, javacc, antlr, xpath",1,https://github.com/pmd/pmd/wiki/Project-Ideas-%5BMature%5D,https://gitter.im/pmd/pmd
139,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6441884142534656/"",""Pocket Science Lab"")","android, java, firmware, c, cad",2,https://github.com/fossasia/pslab.io/wiki/Ideas,https://gitter.im/fossasia/pslab
140,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/4933265605525504/"",""Polly Labs"")","c/c++, llvm, polly, isl, ppcg",3,http://pollylabs.org/gsoc2018.html,https://groups.google.com/forum/#!forum/polly-dev
141,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5341499428438016/"",""PostgreSQL"")","postgresql, sql, rdbms, ordbms, c",3,https://wiki.postgresql.org/wiki/GSoC_2018,https://www.postgresql.org/community/irc/
142,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5818041149423616/"",""Probot"")","javascript, node, github",2,https://github.com/probot/ideas/blob/master/GOOGLE_SUMMER_OF_CODE.md,https://probot.github.io/community/
